ra,dec,Source,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,VarFlag,NSS,Dist,prob
13.80182412312,85.00652445435,573742244163612160,0.6156,0.0603,-2.098,0.079,6.995,0.064,0.038,0,1.06,17.151213, 1.101601,NOT_AVAILABLE,0,1182.9525,0.74
15.92027481844,84.94260011157,573743004374607104,0.4616,0.0518,1.337,0.063,7.267,0.063,0.0242,2,1.052,16.885632, 1.017054,NOT_AVAILABLE,0,1233.2703,0.72
15.2205223264,85.02648155498,573744825440723072,0.46,0.0347,-1.619,0.041,4.953,0.04,0.0207,0,1.037,16.130358, 0.943455,NOT_AVAILABLE,0,1602.9213,0.84
16.3910358657,85.01319558847,573745134678373376,1.3578,0.0141,4.698,0.016,6.631,0.017,0.0276,0,0.989,13.914997, 0.949216,NOT_AVAILABLE,0,716.6115,0.72
16.60900872652,85.06113940186,573745684432490496,0.5505,0.4322,0.632,0.456,8.728,0.519,0.0215,0,1.062,20.048860, 1.780664,NOT_AVAILABLE,0,,0.7
15.7254460622,85.04326246772,573746096751040256,1.3823,0.0115,0.448,0.014,8.43,0.013,0.022,0,1.179,12.293979, 0.799748,NOT_AVAILABLE,2,675.9715,0.7
15.48644124863,85.08495667142,573746302909460864,0.2459,0.0743,-1.469,0.09,4.781,0.085,0.0345,0,1.052,17.468990, 1.028112,NOT_AVAILABLE,0,1493.9873,0.82
14.3148336334,85.04304883383,573747608579525248,0.6614,0.0305,0.308,0.035,3.723,0.036,0.0271,1,1.029,15.875144, 0.960317,NOT_AVAILABLE,0,1331.9637,0.54
14.25570483,85.06520096655,573748055255122688,0.4913,0.504,1.478,0.559,5.768,0.701,0.0434,0,1.093,20.226257, 2.185745,NOT_AVAILABLE,0,,0.66
14.26427880964,85.09731707586,573748188398385024,0.2949,0.1287,-0.942,0.139,4.621,0.151,0.0331,0,1.031,18.476105, 1.286507,NOT_AVAILABLE,0,1503.2882,0.7
13.88763651285,85.06965094778,573748501933026688,0.7982,0.4252,-0.415,0.476,4.616,0.639,0.0371,0,1.051,20.140762, 1.243712,NOT_AVAILABLE,0,,0.54
